id_municipio,ano,qtd_estabelecimentos,total_leitos,qtd_profissionais,populacao,EPC,PPC
3507506,2024,766,661,7532,150442,5.091663232342032,50.065806091384054
3507605,2021,417,385,4440,172346,2.4195513675977396,25.762129669386002
3507605,2022,441,366,4682,176811,2.4941887099784514,26.48025292544016
3507605,2023,465,344,4989,176811,2.6299268710657144,28.21657023601473
3507605,2024,499,344,5382,184634,2.7026441500482035,29.14956075262411
3507704,2021,3,0,56,5795,0.5176876617773943,9.663503019844693
3507704,2022,3,0,52,5356,0.5601194921583271,9.70873786407767
3507704,2023,3,0,65,5356,0.5601194921583271,12.135922330097086
3507704,2024,4,0,66,5466,0.7317965605561654,12.074643249176729
3507753,2021,4,0,50,2911,1.374098248024734,17.17622810030917
3507753,2022,4,0,54,2565,1.5594541910331383,21.052631578947366
3507753,2023,4,0,58,2565,1.5594541910331383,22.612085769980506
3507753,2024,4,0,65,2605,1.5355086372360844,24.95201535508637
3507803,2021,55,0,448,25605,2.1480179652411637,17.49658269869166
3507803,2022,54,0,471,25201,2.142772112217769,18.689734534343874
3507803,2023,57,0,431,25201,2.2618150073409784,17.102495932701082
3507803,2024,57,0,439,26167,2.178316199793633,16.776856345779034
3507902,2021,73,27,283,24862,2.9362078674282035,11.38283323948194
3507902,2022,76,27,301,23898,3.1801824420453593,12.595196250732279
3507902,2023,80,27,324,23898,3.3475604653109046,13.557619884509164
3507902,2024,81,27,338,24423,3.316545878884658,13.839413667444623
3508009,2021,22,0,237,20050,1.0972568578553616,11.820448877805488
3508009,2022,20,0,231,20250,0.9876543209876544,11.407407407407408
3508009,2023,22,0,277,20250,1.0864197530864197,13.679012345679013
3508009,2024,23,0,290,20674,1.1125084647383188,14.027280642352714
3508108,2021,26,27,407,17414,1.493051567704146,23.371999540599518
3508108,2022,29,28,392,17210,1.6850668216153397,22.777454968041837
3508108,2023,29,19,361,17210,1.6850668216153397,20.97617664148751
3508108,2024,32,19,314,17597,1.818491788373018,17.84395067341024
3508207,2021,6,0,54,4547,1.3195513525401363,11.875962172861227
3508207,2022,6,0,75,4356,1.3774104683195594,17.21763085399449
3508207,2023,6,0,81,4356,1.3774104683195594,18.59504132231405
3508207,2024,6,0,79,4447,1.3492241960872497,17.764785248482124
3508306,2021,4,0,50,4222,0.9474182851729038,11.842728564661297
3508306,2022,4,0,54,4299,0.9304489416143289,12.561060711793441
3508306,2023,4,0,58,4299,0.9304489416143289,13.49150965340777
3508306,2024,4,0,64,4362,0.9170105456212746,14.672168729940394
3508405,2021,40,8,512,51130,0.7823195775474281,10.01369059260708
3508405,2022,44,7,600,47011,0.9359511603667227,12.762970368637127
3508405,2023,45,7,561,47011,0.9572227776477846,11.933377294675715
3508405,2024,44,10,660,48473,0.9077218245208672,13.61582736781301
3508504,2021,317,73,1514,95752,3.3106358091736987,15.811680173782271
3508504,2022,325,85,1543,96202,3.3783081432818443,16.039167584873496
3508504,2023,346,94,1763,96202,3.5965988233092867,18.326022328018126
3508504,2024,347,93,1988,99678,3.4812094945725236,19.94422038965469
